Voltage_V,Current_A,Battery_Temperature_°C,Charge_Discharge_Cycles,Ambient_Temperature_°C,Humidity_%,Avg_Cycles_Per_Hour,Energy_Consumption_Wh,Temp_Fluctuation_°C,SOH_%
3.449,-5.054,43.800,332,3.930,75.688,8.455,23.775,39.870,95.792
4.141,-6.684,11.071,602,30.068,56.464,7.599,31.655,18.997,86.440
3.878,-12.954,20.798,165,25.928,22.352,8.930,46.563,5.130,96.682
3.718,4.291,39.797,160,18.986,41.296,12.713,20.662,20.811,95.515
3.187,-0.935,28.925,5,21.407,78.312,1.210,3.126,7.518,99.837
3.187,14.628,44.314,652,-5.298,60.991,15.457,83.031,49.612,89.605
3.070,-18.716,57.672,204,32.809,54.843,7.054,31.211,24.863,95.467
4.039,5.755,6.993,972,28.495,45.094,32.488,30.105,21.502,76.900
3.721,10.518,42.574,531,19.525,68.555,5.407,68.680,23.049,87.865
3.850,10.379,13.821,99,35.930,97.311,4.897,21.634,22.109,96.465
3.025,15.443,24.869,676,-1.568,92.090,14.574,43.139,26.437,89.595
4.164,9.161,1.972,44,24.333,22.440,0.446,22.021,22.361,97.364
3.999,17.112,8.154,456,38.149,58.476,113.118,95.290,29.995,89.508
3.255,-6.694,19.187,848,5.500,46.358,12.120,21.247,13.687,81.997
3.218,0.128,20.519,226,-9.235,60.848,5.989,0.799,29.754,98.470
3.220,-19.437,53.975,314,26.743,68.497,3.462,89.152,27.232,94.655
3.365,-19.722,44.509,51,-9.651,36.002,0.559,89.108,54.160,99.225
3.630,-10.395,58.331,145,33.627,82.525,3.686,70.783,24.704,96.629
3.518,-15.968,35.944,280,-7.185,58.005,12.214,46.927,43.129,94.236
3.349,-9.592,14.503,122,22.638,99.360,2.813,43.154,8.135,97.351
3.734,-12.918,19.659,718,8.859,22.010,7.435,63.390,10.800,89.237
3.167,-18.859,19.190,470,0.167,35.178,16.286,37.220,19.023,87.688
3.351,16.372,19.590,896,34.913,75.170,9.129,104.134,15.323,75.833
3.440,-19.671,40.378,296,27.312,75.614,3.604,104.910,13.066,94.038
3.547,9.443,31.848,613,7.022,66.575,22.309,61.367,24.826,89.920
3.942,-13.914,23.125,511,4.208,97.757,6.443,108.261,18.917,89.379
3.240,16.489,8.945,785,26.801,53.225,132.375,65.150,17.856,79.925
3.617,15.712,1.328,640,31.829,53.363,11.582,96.924,30.501,88.194
3.711,6.156,13.130,501,25.793,92.838,13.772,31.214,12.663,87.563
3.056,6.889,6.448,678,21.999,63.075,15.670,41.383,15.551,83.601
3.729,-19.786,47.127,201,1.396,48.298,4.204,64.252,45.731,93.232
3.205,19.395,6.750,414,32.640,77.515,8.155,32.369,25.890,88.273
3.078,15.113,43.454,613,27.483,69.574,9.290,36.234,15.971,87.531
4.139,15.804,23.140,582,15.864,44.513,8.317,45.267,7.276,86.607
4.159,6.370,4.403,421,15.579,43.834,4.314,30.611,11.176,88.722
3.970,-6.209,48.764,519,18.459,51.649,6.783,15.187,30.305,93.816
3.366,15.746,34.778,673,31.414,25.730,9.741,44.007,3.364,84.909
3.117,-8.339,14.146,72,27.113,95.409,1.807,16.750,12.967,98.438
3.821,2.508,53.681,344,32.812,34.642,27.166,11.788,20.869,95.632
3.528,-16.011,2.715,26,15.364,35.506,3.812,50.847,12.649,100.000
3.146,16.878,12.109,168,21.232,71.763,3.479,64.064,9.123,100.000
3.594,-14.369,45.123,774,32.729,77.940,11.525,32.707,12.394,82.513
3.041,-11.004,42.563,799,1.616,78.947,12.224,42.676,40.947,85.476
4.091,2.325,17.356,584,12.201,50.006,6.126,6.612,5.155,89.094
3.311,10.564,3.721,208,21.033,89.866,5.352,22.701,17.312,97.679
3.795,4.774,51.485,610,35.757,63.520,9.659,17.484,15.728,88.886
3.374,-10.715,18.822,879,-9.208,55.087,9.888,65.495,28.030,80.360
3.624,-19.962,11.743,911,0.629,84.831,22.218,121.736,11.114,86.701
3.656,10.286,30.964,897,1.723,39.485,18.573,72.907,29.241,76.865
3.222,19.408,54.614,938,6.331,88.815,10.154,74.432,48.283,78.593
4.164,12.397,2.613,542,4.089,63.106,9.770,50.003,1.476,90.246
3.930,-1.592,45.948,847,19.507,92.005,10.566,12.240,26.441,83.121
4.127,16.151,34.348,942,34.281,36.129,10.061,71.498,0.067,80.727
4.074,-3.606,25.527,544,21.849,94.885,9.455,7.546,3.678,90.258
3.717,0.997,44.645,724,2.076,75.030,61.307,6.412,42.569,83.356
4.106,-0.915,57.949,656,33.188,69.466,7.966,2.832,24.761,87.966
3.106,-2.095,13.752,610,21.602,53.765,7.443,10.261,7.850,87.353
3.235,11.008,8.619,821,0.948,96.505,66.298,18.613,7.671,86.203
3.054,1.071,54.773,309,8.083,55.514,5.591,2.180,46.690,92.652
3.390,-7.331,40.137,946,29.498,59.883,19.219,30.452,10.639,81.462
3.466,-9.674,26.279,179,26.947,82.520,2.109,20.180,0.668,97.331
3.326,-18.490,34.396,646,18.829,42.787,22.917,112.722,15.567,87.983
3.994,3.328,44.737,437,-2.762,43.320,10.115,21.597,47.499,90.779
3.428,-10.802,46.382,476,30.164,82.024,7.819,36.743,16.218,89.259
3.337,-14.075,55.194,394,5.377,30.286,7.547,65.581,49.817,89.690
3.651,6.153,25.611,701,28.580,85.837,7.337,35.343,2.969,86.520
3.169,7.248,17.605,541,22.378,70.014,5.629,37.511,4.773,85.022
3.963,10.086,38.380,593,3.209,63.127,65.339,43.709,35.171,88.155
3.089,0.143,24.944,56,0.618,38.329,1.837,0.816,24.326,99.393
4.184,15.762,35.676,173,-3.455,82.909,99.087,126.138,39.131,99.301
3.927,17.454,25.199,719,2.097,84.396,16.970,54.393,23.102,83.775
3.238,12.295,9.180,325,-2.109,58.635,4.883,74.322,11.289,93.412
3.007,5.424,28.166,321,20.853,51.134,6.736,25.591,7.313,93.489
3.979,-7.851,41.455,182,19.939,39.693,23.788,57.237,21.516,93.447
3.848,19.318,47.957,234,19.309,80.339,11.471,84.529,28.648,94.407
3.875,-9.035,29.600,618,22.094,71.156,34.039,52.229,7.506,84.400
3.926,-11.894,9.914,185,30.739,36.530,3.585,39.835,20.825,97.928
3.089,-2.314,24.881,265,35.678,83.557,3.892,11.627,10.797,95.575
3.430,-17.726,47.178,643,1.519,90.576,19.897,83.454,45.659,87.114
3.139,19.140,24.772,841,19.389,24.740,60.436,73.383,5.383,81.291
4.036,3.537,41.792,328,-6.083,81.794,4.097,21.970,47.875,95.750
3.748,2.278,30.433,829,-3.993,88.224,9.642,11.343,34.426,80.889
3.397,6.232,14.473,364,22.717,99.321,12.829,34.889,8.244,92.501
3.076,-0.119,47.769,682,14.329,39.008,15.989,0.654,33.440,83.541
3.373,-18.717,5.053,809,27.917,49.680,88.792,107.383,22.864,82.866
3.390,4.492,31.493,23,11.284,97.295,0.977,14.638,20.209,100.000
3.876,8.647,12.533,260,-3.620,27.521,3.380,65.831,16.153,95.290
3.765,-3.330,4.024,354,33.603,61.897,9.528,18.488,29.579,90.945
4.065,10.292,30.176,195,-5.856,60.540,3.204,41.218,36.032,94.548
3.567,-10.920,29.974,610,-0.552,68.524,6.443,21.964,30.526,86.631
3.144,-11.149,42.414,489,3.849,46.463,6.732,69.479,38.565,87.780
3.856,-13.543,44.685,887,39.764,94.073,19.328,73.034,4.921,81.993
3.913,-5.120,43.667,332,10.843,41.605,8.896,16.855,32.824,97.207
3.674,13.880,24.574,612,15.085,71.976,30.812,63.065,9.489,86.080
3.925,13.116,37.901,863,28.485,59.674,11.377,56.438,9.416,85.938
3.593,-4.687,34.617,940,21.821,41.334,77.493,32.452,12.796,80.684
3.627,3.565,25.294,954,32.071,35.108,134.784,16.020,6.777,81.231
3.513,8.833,35.833,631,14.322,96.525,55.458,38.074,21.511,87.353
3.031,-10.352,56.835,320,38.609,64.903,12.776,53.087,18.226,89.374
3.129,-13.274,11.574,446,29.841,68.335,7.070,45.122,18.267,91.648
3.038,18.884,54.346,376,10.068,82.632,4.358,45.596,44.278,86.844
3.764,4.702,3.207,202,9.064,26.498,2.035,29.248,5.857,96.200
3.377,19.257,18.503,89,36.475,77.101,1.212,121.293,17.972,97.754
3.610,-6.490,17.289,706,24.221,33.211,45.691,13.321,6.932,82.571
4.089,8.121,37.582,176,21.072,79.238,6.177,59.435,16.510,95.937
3.299,-11.096,7.873,626,27.892,31.306,44.502,42.345,20.019,86.604
3.492,-9.552,52.941,844,18.042,86.599,67.848,31.144,34.899,82.127
3.907,0.476,49.713,31,-2.042,74.481,0.542,1.039,51.755,98.591
3.275,-7.215,39.124,879,5.961,50.871,9.684,19.099,33.163,80.755
3.092,-13.295,27.505,945,17.897,48.707,13.746,41.080,9.608,80.771
3.348,-9.485,55.977,726,-9.092,31.916,9.045,19.245,65.069,86.555
3.193,-18.570,49.845,953,11.868,92.324,18.576,46.438,37.977,79.731
4.116,8.177,29.959,819,27.790,29.482,17.042,54.028,2.169,82.950
3.970,-0.315,42.112,790,-1.788,57.766,8.421,1.914,43.900,85.068
3.760,-16.230,34.016,242,-6.772,38.921,3.339,100.981,40.788,98.854
4.046,-13.132,35.277,797,31.801,99.706,17.149,39.737,3.476,83.123
3.964,-15.899,19.859,69,20.864,66.868,2.034,35.580,1.005,94.839
3.224,4.504,27.725,70,-1.171,31.967,6.850,17.467,28.896,96.442
4.071,-16.232,4.687,622,30.315,73.405,7.560,67.017,25.628,88.383
3.647,10.171,21.441,157,22.906,99.329,8.839,61.765,1.465,99.362
3.969,-19.180,41.750,548,6.706,68.403,10.541,99.590,35.044,86.233
4.075,-10.025,57.193,815,8.810,56.590,12.716,77.487,48.383,82.654
3.382,15.627,57.784,927,-2.206,43.462,12.416,31.277,59.990,80.764
3.132,8.741,33.343,325,31.763,27.370,35.131,28.623,1.580,91.486
3.274,-17.081,36.397,34,15.450,38.260,16.521,61.955,20.947,100.000
3.513,12.845,11.143,479,17.851,64.290,6.756,31.083,6.708,92.481
3.982,-0.279,41.718,459,34.175,80.303,9.982,1.527,7.543,91.083
4.033,13.871,4.240,835,-9.208,90.234,44.104,31.344,13.448,82.261
3.008,4.030,17.081,415,-6.654,83.497,4.225,19.021,23.735,93.347
3.613,7.273,40.102,570,-1.921,30.037,7.184,14.615,42.023,89.154
3.501,19.740,18.619,885,-8.498,81.877,15.187,125.103,27.117,80.614
3.267,-10.707,2.991,418,22.908,66.528,5.928,20.902,19.917,93.449
3.144,4.958,49.912,510,21.694,57.529,31.198,18.464,28.218,89.947
3.405,-1.587,18.620,367,0.540,65.821,3.813,3.961,18.080,89.133
4.131,-18.422,3.786,911,-2.530,20.646,9.143,53.247,6.316,79.491
3.388,-19.421,4.487,886,-2.716,25.418,13.590,104.081,7.203,79.056
3.623,-15.231,15.106,882,37.662,62.068,13.132,91.678,22.556,83.813
3.844,5.964,10.681,206,24.675,33.890,2.912,36.883,13.994,94.184
3.436,2.687,46.458,360,19.271,63.643,5.380,10.211,27.187,93.539
4.166,2.137,19.301,435,6.124,48.337,9.794,17.682,13.177,95.362
4.155,-18.726,48.282,577,11.652,92.593,10.582,78.581,36.630,89.173
3.302,-1.228,10.431,773,-5.530,95.975,26.664,3.519,15.961,83.580
3.597,16.985,29.573,269,39.908,98.383,5.946,121.870,10.335,92.228
3.361,-4.096,41.282,232,27.754,91.915,5.252,27.064,13.528,94.199
3.342,4.997,39.119,668,21.073,98.871,22.624,23.175,18.046,84.077
3.044,11.193,36.068,105,19.388,76.492,1.331,27.719,16.680,95.112
3.731,11.357,55.489,665,15.216,96.843,16.002,36.345,40.273,84.353
3.603,0.771,13.712,17,2.871,71.343,0.306,3.559,10.841,100.000
3.062,14.318,29.623,494,1.320,84.737,30.025,72.959,28.303,88.417
3.334,-4.345,53.040,259,17.477,30.553,5.393,8.926,35.563,93.794
4.090,15.548,4.674,484,-6.490,74.608,6.336,97.390,11.164,90.725
3.287,-10.391,3.353,312,-6.276,94.488,6.932,22.360,9.629,95.069
3.174,-8.791,13.998,630,18.041,63.204,11.207,49.281,4.043,83.155
3.587,-17.875,37.981,820,35.991,34.946,11.636,83.236,1.990,79.357
4.183,11.823,15.593,101,35.714,62.151,2.556,98.147,20.121,96.561
3.290,-3.318,11.414,536,-9.459,76.555,14.899,17.788,20.873,86.847
3.807,-10.835,27.528,942,-4.630,81.583,99.279,51.390,32.158,82.337
3.914,-10.728,36.816,179,19.154,61.896,3.052,29.887,17.662,94.975
3.285,16.056,14.913,509,32.424,37.389,7.170,69.284,17.511,92.920
3.874,13.357,18.041,476,37.722,94.135,8.131,34.755,19.681,89.150
3.441,2.141,36.814,673,33.029,81.889,23.152,13.686,3.785,86.721
3.759,4.644,56.744,399,23.881,41.655,14.793,14.753,32.863,90.045
3.760,-1.027,40.485,996,0.026,84.945,59.324,6.943,40.459,80.616
